CustomerId,CatalogEntryId,score,qty,spend,u_idx,i_idx
78448CED-8B2E-4840-AD2C-0012699ED289,BD22GMAD,10.123280211857075,3.0,89.01,25,131
78448CED-8B2E-4840-AD2C-0012699ED289,BD22HG,4.400304439282766,1.0,23.54,25,132
78448CED-8B2E-4840-AD2C-0012699ED289,BD22RB,26.172564919597946,9.0,259.27,25,133
78448CED-8B2E-4840-AD2C-0012699ED289,BD22RGCW,20.957284533158788,7.0,199.51000000000002,25,134
78448CED-8B2E-4840-AD2C-0012699ED289,BD24EMAD,4.678467017153456,1.0,31.41,25,135
78448CED-8B2E-4840-AD2C-0012699ED289,BD24RB,4.705257051586934,1.0,32.29,25,136
78448CED-8B2E-4840-AD2C-0012699ED289,C-RODS,17.59713436783737,13.0,164.97,25,137
78448CED-8B2E-4840-AD2C-0012699ED289,CB132,6.244200317766478,5.0,68.7,25,138
78448CED-8B2E-4840-AD2C-0012699ED289,CPS1420,4.8989288701554905,2.0,32.08,25,139
78448CED-8B2E-4840-AD2C-0012699ED289,DABK,5.224857896545748,5.0,24.15,25,19
78448CED-8B2E-4840-AD2C-0012699ED289,ECB81,22.88137907897404,21.0,573.86,25,140
78448CED-8B2E-4840-AD2C-0012699ED289,ECB81S,21.192060387010738,16.0,444.01,25,141
78448CED-8B2E-4840-AD2C-0012699ED289,ECG24,47.12430972671895,62.0,717.5,25,142
78448CED-8B2E-4840-AD2C-0012699ED289,ECG25,31.028903482757684,40.0,462.2,25,143
78448CED-8B2E-4840-AD2C-0012699ED289,ECG26,7.7104306966455844,10.0,110.1,25,144
78448CED-8B2E-4840-AD2C-0012699ED289,EFT17,24.74077791395763,36.0,389.98,25,145
78448CED-8B2E-4840-AD2C-0012699ED289,EJ15,54.63855060342104,130.0,614.5,25,146
78448CED-8B2E-4840-AD2C-0012699ED289,EJ16,95.71030730461254,340.0,1588.2,25,147
78448CED-8B2E-4840-AD2C-0012699ED289,EJ17,66.32249817233988,180.0,817.0,25,8
78448CED-8B2E-4840-AD2C-0012699ED289,EJ18,16.33512440267375,30.0,134.7,25,41
78448CED-8B2E-4840-AD2C-0012699ED289,EJ19,16.42666436271294,30.0,139.1,25,148
78448CED-8B2E-4840-AD2C-0012699ED289,EJ21,25.81750639019379,50.0,220.6,25,149
78448CED-8B2E-4840-AD2C-0012699ED289,EJ22,16.2728260036504,30.0,130.5,25,150
78448CED-8B2E-4840-AD2C-0012699ED289,EJ26,52.41592754137848,120.0,556.4,25,151
78448CED-8B2E-4840-AD2C-0012699ED289,EJ33,22.33820220507484,32.0,222.88,25,152
78448CED-8B2E-4840-AD2C-0012699ED289,EJ38,29.6838646595453,60.0,437.8,25,153
78448CED-8B2E-4840-AD2C-0012699ED289,EJ40,36.90605632148697,70.0,501.9,25,154
78448CED-8B2E-4840-AD2C-0012699ED289,EJ41,22.002381384813315,30.0,226.0,25,155
78448CED-8B2E-4840-AD2C-0012699ED289,EJ45,70.99406844233678,220.0,1499.4,25,0
78448CED-8B2E-4840-AD2C-0012699ED289,EJ46,17.070926568993475,30.0,195.60000000000002,25,156
78448CED-8B2E-4840-AD2C-0012699ED289,EJ60,12.810362932973486,20.0,58.3,25,157
78448CED-8B2E-4840-AD2C-0012699ED289,EJ61,15.485996531040723,30.0,86.1,25,158
